add-none,2,100,400,134633,336,0
add-none,2,1000,4000,135174,33,2
add-none,2,10000,40000,810809,20,175
add-none,2,100000,400000,6565498,16,1311
add-none,2,1000000,4000000,55027638,13,12254
add-none,4,100,800,171983,214,0
add-none,4,1000,8000,226195,28,12
add-none,4,10000,80000,1922420,24,411
add-none,4,100000,800000,16065353,20,4891
add-none,4,1000000,8000000,169742747,21,47333
add-yield-none,1,100,200,266830,1334,0
add-yield-none,1,1000,2000,1798730,899,0
add-yield-none,1,10000,20000,15648601,782,0
add-yield-none,1,100000,200000,149349905,746,0
add-yield-none,1,1000000,2000000,1604690731,802,0
add-yield-none,2,100,400,287731,719,0
add-yield-none,2,1000,4000,2004784,501,0
add-yield-none,2,10000,40000,21268425,531,0
add-yield-none,2,100000,400000,172577423,431,2
add-yield-none,2,1000000,4000000,1754012148,438,14
add-yield-none,4,100,800,338764,423,0
add-yield-none,4,1000,8000,2007067,250,0
add-yield-none,4,10000,80000,18789843,234,31
add-yield-none,4,100000,800000,180695420,225,555
add-yield-none,4,1000000,8000000,1831052191,228,1103
add-yield-m,2,10000,40000,50843680,1271,0
add-yield-m,4,10000,80000,133063424,1663,0
add-yield-m,8,10000,160000,297702522,1860,0
add-yield-m,12,10000,240000,428046248,1783,0
add-none,2,100,400,171728,429,3
add-none,2,1000,4000,156227,39,0
add-none,2,10000,40000,600688,15,96
add-none,2,100000,400000,6639979,16,1360
add-none,4,100,800,179204,224,0
add-none,4,1000,8000,190757,23,0
add-none,4,10000,80000,1857155,23,396
add-none,4,100000,800000,18153216,22,3889
add-none,8,100,1600,259413,162,0
add-none,8,1000,16000,455046,28,69
add-none,8,10000,160000,4110922,25,588
add-none,8,100000,1600000,45082003,28,6745
add-none,12,100,2400,377812,157,0
add-none,12,1000,24000,815333,33,65
add-none,12,10000,240000,6858171,28,696
add-none,12,100000,2400000,68792639,28,7267
add-yield-none,2,10,40,158925,3973,0
add-yield-none,4,10,80,180223,2252,1
add-yield-none,8,10,160,255036,1593,1
add-yield-none,12,10,240,448660,1869,3
add-yield-none,2,20,80,168990,2112,0
add-yield-none,4,20,160,235255,1470,0
add-yield-none,8,20,320,334655,1045,2
add-yield-none,12,20,480,423257,881,2
add-yield-none,2,40,160,206863,1292,0
add-yield-none,4,40,320,312929,977,2
add-yield-none,8,40,640,311791,487,3
add-yield-none,12,40,960,416406,433,1
add-yield-none,2,80,320,235039,734,1
add-yield-none,4,80,640,288581,450,0
add-yield-none,8,80,1280,440948,344,2
add-yield-none,12,80,1920,538897,280,1
add-yield-none,2,100,400,337427,843,1
add-yield-none,4,100,800,364001,455,1
add-yield-none,8,100,1600,481335,300,2
add-yield-none,12,100,2400,587883,244,4
add-yield-none,2,1000,4000,2056383,514,1
add-yield-none,4,1000,8000,2098494,262,2
add-yield-none,8,1000,16000,2304475,144,15
add-yield-none,12,1000,24000,2818889,117,18
add-yield-none,2,10000,40000,18426118,460,1
add-yield-none,4,10000,80000,18866117,235,25
add-yield-none,8,10000,160000,21151693,132,100
add-yield-none,12,10000,240000,25252841,105,143
add-yield-none,2,100000,400000,174093202,435,0
add-yield-none,4,100000,800000,182441303,228,396
add-yield-none,8,100000,1600000,202401253,126,881
